device_name,start_date_time,end_date_time,actual_start_time,actual_end_time,on_time_seconds,off_time_seconds,total_window_time_seconds,efficiency,has_gap_more_than_2_minutes
Machine2,2025-03-01 07:30,2025-03-02 07:30,2025-03-01 07:30,2025-03-02 07:29,57600,28719,86400,66.67,FALSE
Machine2,2025-03-02 07:30,2025-03-03 07:30,2025-03-02 07:30,2025-03-03 07:29,53189,33215,86400,61.56,FALSE
Machine2,2025-03-03 07:30,2025-03-04 07:30,2025-03-03 07:30,2025-03-04 07:29,52097,34285,86400,60.3,FALSE
Machine2,2025-03-04 07:30,2025-03-05 07:30,2025-03-04 07:30,2025-03-05 07:29,59730,26648,86400,69.13,FALSE
Machine2,2025-03-05 07:30,2025-03-06 07:30,2025-03-05 07:30,2025-03-06 07:29,67774,18668,86400,78.44,FALSE
Machine2,2025-03-06 07:30,2025-03-07 07:30,2025-03-06 07:30,2025-03-07 07:29,31758,54615,86400,36.76,FALSE
Machine2,2025-03-07 07:30,2025-03-08 07:30,2025-03-07 07:30,2025-03-08 07:29,48379,38061,86400,55.99,FALSE
Machine2,2025-03-08 07:30,2025-03-09 07:30,2025-03-08 07:30,2025-03-09 07:29,46367,39991,86400,53.67,FALSE
Machine2,2025-03-09 07:30,2025-03-10 07:30,2025-03-09 07:30,2025-03-10 07:29,60103,26286,86400,69.56,FALSE
Machine2,2025-03-10 07:30,2025-03-11 07:30,2025-03-10 07:30,2025-03-11 07:29,59410,27032,86400,68.76,FALSE
Machine2,2025-03-11 07:30,2025-03-12 07:30,2025-03-11 07:30,2025-03-12 07:29,47298,39066,86400,54.74,FALSE
Machine2,2025-03-12 07:30,2025-03-13 07:30,2025-03-12 07:30,2025-03-13 07:29,60360,26034,86400,69.86,FALSE
Machine2,2025-03-13 07:30,2025-03-14 07:30,2025-03-13 07:30,2025-03-14 07:29,58918,27524,86400,68.19,FALSE
Machine2,2025-03-14 07:30,2025-03-15 07:30,2025-03-14 07:30,2025-03-15 07:29,51738,34643,86400,59.88,FALSE
Machine2,2025-03-15 07:30,2025-03-16 07:30,2025-03-15 07:30,2025-03-16 07:29,56674,29704,86400,65.59,FALSE
Machine2,2025-03-16 07:30,2025-03-17 07:30,2025-03-16 07:30,2025-03-17 07:29,54570,31848,86400,63.16,FALSE
Machine2,2025-03-17 07:30,2025-03-18 07:30,2025-03-17 07:30,2025-03-18 07:29,54727,31697,86400,63.34,FALSE
Machine2,2025-03-18 07:30,2025-03-19 07:30,2025-03-18 07:30,2025-03-19 07:29,53321,33056,86400,61.71,FALSE
Machine2,2025-03-19 07:30,2025-03-20 07:30,2025-03-19 07:30,2025-03-20 07:29,48250,38130,86400,55.84,FALSE
Machine2,2025-03-20 07:30,2025-03-21 07:30,2025-03-20 07:30,2025-03-21 07:29,33195,53246,86400,38.42,FALSE
