device_name,start_date_time,end_date_time,actual_start_time,actual_end_time,date,production_output,start_counter_value,end_counter_value,window_first_reading,readings_count,reset_count,pre_reset_sum,reset_info
Machine1,2025-03-01 07:30,2025-03-02 07:30,2025-03-01 07:30,2025-03-02 07:29,"March 1, 2025",32826.4,17494620.8,17527447.2,17494620.8,1416,0,0,[]
Machine1,2025-03-02 07:30,2025-03-03 07:30,2025-03-02 07:30,2025-03-03 07:29,"March 2, 2025",21537.6,17527447.2,17548984.8,17527447.2,1415,0,0,[]
Machine1,2025-03-03 07:30,2025-03-04 07:30,2025-03-03 07:30,2025-03-04 07:29,"March 3, 2025",33044,17548984.8,17582028.8,17549004.8,1416,0,0,[]
Machine1,2025-03-04 07:30,2025-03-05 07:30,2025-03-04 07:30,2025-03-05 07:29,"March 4, 2025",35862.4,17582028.8,17617891.2,17582057.6,1414,0,0,[]
Machine1,2025-03-05 07:30,2025-03-06 07:30,2025-03-05 07:30,2025-03-06 07:29,"March 5, 2025",35615.2,17617891.2,17653506.4,17617918.4,1412,0,0,[]
Machine1,2025-03-06 07:30,2025-03-07 07:30,2025-03-06 07:30,2025-03-07 07:29,"March 6, 2025",29220.8,17653506.4,17682727.2,17653506.4,1413,0,0,[]
Machine1,2025-03-07 07:30,2025-03-08 07:30,2025-03-07 07:30,2025-03-08 07:29,"March 7, 2025",31571.2,17682727.2,17714298.4,17682727.2,1417,0,0,[]
Machine1,2025-03-08 07:30,2025-03-09 07:30,2025-03-08 07:30,2025-03-09 07:29,"March 8, 2025",35379.2,17714298.4,17749677.6,17714329.6,1414,0,0,[]
Machine1,2025-03-09 07:30,2025-03-10 07:30,2025-03-09 07:30,2025-03-10 07:29,"March 9, 2025",34179.2,17749677.6,17783856.8,17749702.4,1414,0,0,[]
Machine1,2025-03-10 07:30,2025-03-11 07:30,2025-03-10 07:30,2025-03-11 07:29,"March 10, 2025",32573.6,17783856.8,17816430.4,17783863.2,1415,0,0,[]
Machine1,2025-03-11 07:30,2025-03-12 07:30,2025-03-11 07:30,2025-03-12 07:29,"March 11, 2025",31933.6,17816430.4,17848364,17816430.4,1414,0,0,[]
Machine1,2025-03-12 07:30,2025-03-13 07:30,2025-03-12 07:30,2025-03-13 07:29,"March 12, 2025",31183.2,17848364,17879547.2,17848390.4,1415,0,0,[]
Machine1,2025-03-13 07:30,2025-03-14 07:30,2025-03-13 07:30,2025-03-14 07:29,"March 13, 2025",32372.8,17879547.2,17911920,17879566.4,1413,0,0,[]
Machine1,2025-03-14 07:30,2025-03-15 07:30,2025-03-14 07:30,2025-03-15 07:29,"March 14, 2025",26452,17911920,17938372,17911948.8,1415,0,0,[]
Machine1,2025-03-15 07:30,2025-03-16 07:30,2025-03-15 07:30,2025-03-16 07:29,"March 15, 2025",31078.4,17938372,17969450.4,17938398.4,1416,0,0,[]
Machine1,2025-03-16 07:30,2025-03-17 07:30,2025-03-16 07:30,2025-03-17 07:29,"March 16, 2025",34439.2,17969450.4,18003889.6,17969450.4,1416,0,0,[]
Machine1,2025-03-17 07:30,2025-03-18 07:30,2025-03-17 07:30,2025-03-18 07:29,"March 17, 2025",19023.2,18003889.6,18022912.8,18003916,1416,0,0,[]
Machine1,2025-03-18 07:30,2025-03-19 07:30,2025-03-18 07:30,2025-03-19 07:29,"March 18, 2025",24449.6,18022912.8,18047362.4,18022948,1412,0,0,[]
Machine1,2025-03-19 07:30,2025-03-20 07:30,2025-03-19 07:30,2025-03-20 07:29,"March 19, 2025",32256.8,18047362.4,18079619.2,18047389.6,1416,0,0,[]
Machine1,2025-03-20 07:30,2025-03-21 07:30,2025-03-20 07:30,2025-03-21 07:29,"March 20, 2025",30332,18079619.2,18109951.2,18079645.6,1417,0,0,[]
Machine1,2025-03-21 07:30,2025-03-22 07:30,2025-03-21 07:30,2025-03-22 07:29,"March 21, 2025",34267.2,18109951.2,18144218.4,18109976.8,1407,0,0,[]
Machine1,2025-03-22 07:30,2025-03-23 07:30,2025-03-22 07:30,2025-03-23 07:29,"March 22, 2025",34477.6,18144218.4,18178696,18144218.4,1413,0,0,[]
Machine1,2025-03-23 07:30,2025-03-24 07:30,2025-03-23 07:30,2025-03-24 07:29,"March 23, 2025",33131.2,18178696,18211827.2,18178728,1414,0,0,[]
Machine1,2025-03-24 07:30,2025-03-25 07:30,2025-03-24 07:30,2025-03-25 07:29,"March 24, 2025",32624.8,18211827.2,18244452,18211827.2,1414,0,0,[]
Machine1,2025-03-25 07:30,2025-03-26 07:30,2025-03-25 07:30,2025-03-26 07:29,"March 25, 2025",33748.8,18244452,18278200.8,18244476,1413,0,0,[]
Machine1,2025-03-26 07:30,2025-03-27 07:30,2025-03-26 07:30,2025-03-27 07:29,"March 26, 2025",33734.4,18278200.8,18311935.2,18278229.6,1414,0,0,[]
Machine1,2025-03-27 07:30,2025-03-28 07:30,2025-03-27 07:30,2025-03-28 07:29,"March 27, 2025",34513.6,18311935.2,18346448.8,18311965.6,1416,0,0,[]
Machine1,2025-03-28 07:30,2025-03-29 07:30,2025-03-28 07:30,2025-03-29 07:29,"March 28, 2025",35508,18346448.8,18381956.8,18346478.4,1417,0,0,[]
Machine1,2025-03-29 07:30,2025-03-30 07:30,2025-03-29 07:30,2025-03-30 07:29,"March 29, 2025",30261.6,18381956.8,18412218.4,18381988,1413,0,0,[]
Machine1,2025-03-30 07:30,2025-03-31 07:30,2025-03-30 07:30,2025-03-31 07:29,"March 30, 2025",25650.4,18412218.4,18437868.8,18412218.4,1416,0,0,[]
Machine1,2025-03-31 07:30,2025-04-01 07:30,2025-03-31 07:30,2025-04-01 07:29,"March 31, 2025",32132.8,18437868.8,18470001.6,18437888,1417,0,0,[]
